"paper_id","title","abstract","authors","year","document_type","venue","persistent_id","category_codes","african_relevance","source_url","download_urls","license_status","citation_count","citation_percentile","relevance_score","source_quality","is_retracted","metrics_date"
"MUFASA-000001","Characterization of Some Selected Silica Sand Deposits in South West Nigeria for Sand Moulding in Foundry Industry","This study determined the clay content, chemical composition, grain fineness number, distribution and shape of silica-sand deposits from Igbokoda, Ote, Opa and Osooro in south-west Nigeria for foundry moulding. XRF/XRD showed quartz dominance and silica contents of 80.56–86.46%; all deposits were classified grade D.","Omotajo Adewole Adeyemi; Omotola Tobilola Emmanuel; Olawale J. Olawale; Isadare Dayo A.; Adetunji A. R.; Adekoya O.; Adeyemo O.","2021","journal_article","Nigerian Journal of Materials Science and Engineering","url:https://njmse.msn.ng/article/characterization-of-some-selected-silica-sand-deposits-in-south-west-nigeria-for-sand-moulding-in-foundry-industry","MAT-MIN-001; MAT-MAN-001","Nigeria; South West Nigeria; local_mineral; local_manufacturing","https://njmse.msn.ng/article/characterization-of-some-selected-silica-sand-deposits-in-south-west-nigeria-for-sand-moulding-in-foundry-industry","https://njmse.msn.ng/article/characterization-of-some-selected-silica-sand-deposits-in-south-west-nigeria-for-sand-moulding-in-foundry-industry/download","open_access | licence_terms_not_stated | training_permission_unverified","","","0.98","peer_reviewed","false","2026-07-12"
"MUFASA-000002","Effect of Compactive Effort on the Geotechnical Properties of Metakaolin Treated Black Cotton Soil","The study examined black cotton soil treated with up to 10% metakaolin from calcined kaolin under British Standard Light, West Africa Standard and British Standard Heavy compaction. Treatment reduced liquid and plastic limits and lowered hydraulic conductivity; the authors recommended the material as a liner or cover for waste-containment facilities.","T. S. Ijimdiya; G. Imam; T. Igboro; A. Tanko","2015","journal_article","Nigerian Journal of Materials Science and Engineering","url:https://njmse.msn.ng/article/effect-of-compactive-effort-on-the-geotechnical-properties-of-metakaolin-treated-black-cotton-soil","MAT-BLD-002","Nigeria; black_cotton_soil; local_kaolin; local_conditions","https://njmse.msn.ng/article/effect-of-compactive-effort-on-the-geotechnical-properties-of-metakaolin-treated-black-cotton-soil","https://njmse.msn.ng/article/effect-of-compactive-effort-on-the-geotechnical-properties-of-metakaolin-treated-black-cotton-soil/download","open_access | licence_terms_not_stated | training_permission_unverified","","","0.95","peer_reviewed","false","2026-07-12"
"MUFASA-000003","Moulding Properties of As-Mined and Silica-Enriched Potters’ Clay","Ipetumodu potters’ clay was dried, ground, sieved and mixed with 5% water, then tested for green/dry compression, green/dry shear strength and permeability. Clay–silica mixtures were evaluated and compared with foundry moulding sand used at the Federal Institute of Industrial Research, Oshodi.","S. A. Ibitoye; A. A. Afonja","2001","journal_article","Journal of Construction and Materials Technology","url:https://nbrri.gov.ng/new/wp-content/uploads/2019/06/Journal-of-Construction-and-Materials-Technology-vol-1-no-2.pdf#page=39","MAT-MIN-001; MAT-MAN-001","Nigeria; Ipetumodu; local_clay; foundry_manufacturing","https://nbrri.gov.ng/new/wp-content/uploads/2019/06/Journal-of-Construction-and-Materials-Technology-vol-1-no-2.pdf","https://nbrri.gov.ng/new/wp-content/uploads/2019/06/Journal-of-Construction-and-Materials-Technology-vol-1-no-2.pdf","all_rights_reserved | training_permission_required","","","0.97","peer_reviewed","false","2026-07-12"
"MUFASA-000004","Testing of Cement Stabilized Lateritic Soil Using Various Indirect Tensile Strength Test Methods","Brazilian split-cylinder, double-punch, flexural-beam, non-Brazilian point-load and ring tensile tests were applied to cement-stabilized soils containing 0–8% cement. Results were analysed graphically and with brittleness models to compare the tensile-test methods.","F. C. Emesiobi; F. O. Aitsebaomo","2003","journal_article","Journal of Construction and Materials Technology","url:https://nbrri.gov.ng/new/wp-content/uploads/2019/06/Journal-of-Construction-and-Materials-Technology-vol-2-no-1.pdf#page=93","MAT-BLD-002; MAT-INF-001","Nigeria; lateritic_soil; local_road_material; local_conditions","https://nbrri.gov.ng/new/wp-content/uploads/2019/06/Journal-of-Construction-and-Materials-Technology-vol-2-no-1.pdf","https://nbrri.gov.ng/new/wp-content/uploads/2019/06/Journal-of-Construction-and-Materials-Technology-vol-2-no-1.pdf","all_rights_reserved | training_permission_required","","","0.97","peer_reviewed","false","2026-07-12"
"MUFASA-000005","Mix Design Optimization of High-Performance Concrete Using Local Materials","Twelve concrete mixes made from local materials were evaluated using water–cement ratios of 0.30, 0.35 and 0.40 and different coarse-aggregate size combinations. Workability and compressive, flexural and tensile strengths were tested through 90 days; predictive strength models were proposed.","Efe E. Ikponmwosa; Kolawole A. Olonade; Abdulgafar O. Sulaiman; Emmanuel O. Akintunde; Numeri O. Enikanologbon; Olusegun A. Kehinde","2023","journal_article","Nigerian Journal of Technology","doi:10.4314/njt.v42i2.2","MAT-BLD-003","Nigeria; University of Lagos; local_material; local_conditions","https://www.nijotech.com/index.php/nijotech/article/view/3132","https://www.nijotech.com/index.php/nijotech/article/download/3132/1962/9784","CC-BY-NC-ND-4.0 | noncommercial_no_derivatives | training_permission_unverified","","","0.96","peer_reviewed","false","2026-07-12"
"MUFASA-000006","Compressive, Bending and Shear Properties of Reinforced Concrete Beams Containing Sawdust Ash as Partial Replacement of Cement","Concrete cubes and reinforced concrete beams containing 0–10% sawdust ash as cement replacement were cured and tested through 180 days. A 5% ash replacement achieved the required compressive strength and met structural-concrete requirements.","O. E. Osanyinlokun; C. A. Fapohunda; O. M. Olaniyan","2024","journal_article","Nigerian Journal of Technology","doi:10.4314/njt.v43i1.2","MAT-BLD-003; MAT-RES-001","Nigeria; sawdust_ash; agricultural_waste_utilization; local_material","https://www.nijotech.com/index.php/nijotech/article/view/3558","https://www.nijotech.com/index.php/nijotech/article/download/3558/2009/11940","CC-BY-NC-ND-4.0 | noncommercial_no_derivatives | training_permission_unverified","","","0.98","peer_reviewed","false","2026-07-12"
"MUFASA-000007","Reliability Evaluation of Compaction Water Content of Plantain Peel Ash Treated Lateritic Soil","FORM was employed to assess optimum moisture content of residual lateritic soil mixed with plantain peel ash and compacted with British Standard Light and Heavy energies for flexible-pavement applications.","K. Ishola; O. A. Olawuyi; P. Yohanna; A. A. Bello; R. O. Sani; O. Akin","2021","journal_article","Nigerian Journal of Technological Development","doi:10.63746/njtd.v18i1.605","MAT-BLD-002; MAT-INF-001; MAT-RES-001","Nigeria; lateritic_soil; plantain_peel_ash; road_pavement","https://journal.njtd.com.ng/index.php/njtd/article/view/605","https://journal.njtd.com.ng/index.php/njtd/article/download/605/255/3275","CC-BY-NC-SA-4.0 | noncommercial_training_only","","","0.98","peer_reviewed","false","2026-07-12"
"MUFASA-000008","Mechanical Properties of Millet Husk Ash Bitumen Stabilized Soil Block","This study investigates strength and durability improvement of lateritic soil blocks using millet husk ash and bitumen, aiming to reduce cost and provide an agricultural-waste outlet. Selected blends achieved high compressive strength and watertight bricks.","M. T. Abdulwahab; O. A. U. Uche; G. Suleiman","2017","journal_article","Nigerian Journal of Technological Development","doi:10.4314/njtd.v14i1.5","MAT-BLD-001; MAT-BLD-002; MAT-RES-001","Nigeria; lateritic_soil; millet_husk_ash; low_cost_building_material","https://journal.njtd.com.ng/index.php/njtd/article/view/147","https://journal.njtd.com.ng/index.php/njtd/article/download/147/86/229","copyright_transferred | open_access | training_permission_unknown","","","0.99","peer_reviewed","false","2026-07-12"
"MUFASA-000009","Investigation of the Properties of Concrete Made with Fly-Ash and Dry Waste Okra Powder","The research investigates fly ash and dry waste okra powder in concrete. Ten percent of cement was replaced with fly ash and 0.25–1% dry waste okra powder was added; selected blends produced higher strengths than the control.","Y. Rahmat; A. S. Abdulazeez; I. Gambo; I. Audu; A. A. Isah","2024","journal_article","Arid Zone Journal of Engineering, Technology and Environment","","MAT-BLD-003; MAT-RES-001; MAT-RES-002","Nigeria; okra_agricultural_waste; locally_available_material; cement_replacement","https://www.azojete.com.ng/index.php/azojete/article/view/915","https://www.azojete.com.ng/index.php/azojete/article/download/915/526/","copyright_transferred | open_access | training_permission_unknown","","","0.94","peer_reviewed","false","2026-07-12"
"MUFASA-000010","Effects of Rice Husk Ash on Durability of Self-Compacting Concrete Made with Cassava Peel Ash","This study evaluates durability of self-compacting concrete made with cassava peel ash combined with rice husk ash at 5–25% cement replacement. The ashes improved acid and sulfate resistance and reduced water absorption.","M. T. Abdulwahab; O. A. U. Uche; A. Aboshio; A. Mohammed; A. Suleiman; A. M. Auwal; S. U. Chidawa","2022","journal_article","Arid Zone Journal of Engineering, Technology and Environment","","MAT-BLD-003; MAT-RES-001; MAT-RES-003","Nigeria; cassava_peel_ash; rice_husk_ash; agricultural_waste; concrete_durability","https://www.azojete.com/index.php/azojete/article/view/565","","CC-BY-NC-ND-4.0 | noncommercial_no_derivatives","","","0.99","peer_reviewed","false","2026-07-12"
